text	tag
Okay -- you're gonna need to learn how to lie.	dialogue
I'm kidding.  You know how sometimes you just become this "persona"?  And you don't know how to quit?	dialogue
Like my fear of wearing pastels?	dialogue
I figured you'd get to the good stuff eventually.	dialogue
Thank God!  If I had to hear one more story about your coiffure...	dialogue
Me.  This endless ...blonde babble. I'm like, boring myself.	dialogue
do you listen to this crap?	dialogue
Then Guillermo says, "If you go any lighter, you're gonna look like an extra on 90210."	dialogue
You always been this selfish?	dialogue
Then that's all you had to say.	dialogue
You never wanted to go out with 'me, did you?	dialogue
I looked for you back at the party, but you always seemed to be "occupied".	dialogue
I believe we share an art instructor	dialogue
Looks like things worked out tonight, huh?	dialogue
Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.	dialogue
So that's the kind of guy she likes? Pretty ones?	dialogue
Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies.	dialogue
I'm workin' on it. But she doesn't seem to be goin' for him.	dialogue
I really, really, really wanna go, but I can't.  Not unless my sister goes.	dialogue
Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment.	dialogue
How do you get your hair to look like that?	dialogue
You have my word.  As a gentleman	dialogue
I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?	dialogue
You got something on your mind?	dialogue
Well, there's someone I think might be --	dialogue
How is our little Find the Wench A Date plan progressing?	dialogue
That's because it's such a nice one.	dialogue
I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.	dialogue
Right.  See?  You're ready for the quiz.	dialogue
C'esc ma tete. This is my head	dialogue
Let me see what I can do.	dialogue
Gosh, if only we could find Kat a boyfriend...	dialogue
Unsolved mystery.  She used to be really popular when she started high school, then it was just like she got sick of it or something.	dialogue
Seems like she could get a date easy enough...	dialogue
The thing is, Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does.	dialogue
No, no, it's my fault -- we didn't have a proper introduction ---	dialogue
You're asking me out.  That's so cute. What's your name again?	dialogue
