vc_output,descricao
tempo manhã veículos passadeira pedestres clima nevoeiro,"Em manhã, nevoeiro, os veículos trafegam enquanto os pedestres atravessam a passadeira."
tempo noite clima ventoso passadeira carros sinais pedestres,"Em noite, ventoso, os veículos trafegam enquanto os pedestres atravessam a passadeira sob a orientação dos sinais de trânsito."
pedestres clima ensolarado veículos tempo manhã,"Em manhã, ensolarado, os veículos trafegam enquanto os pedestres caminham pela rua."
tempo manhã pedestres sinais de transito clima ensolarado passadeira,"Em manhã, ensolarado, enquanto os pedestres atravessam a passadeira sob a orientação dos sinais de trânsito."
tempo noite clima nevoeiro peoes,"Em noite, nevoeiro, enquanto os pedestres caminham pela rua."
pedestres passadeira tempo tarde clima ventoso carros,"Em tarde, ventoso, os veículos trafegam enquanto os pedestres atravessam a passadeira."
veículos tempo manhã peoes sinais passadeira clima ventoso,"Em manhã, ventoso, os veículos trafegam enquanto os pedestres atravessam a passadeira sob a orientação dos sinais de trânsito."
carros tempo manhã clima ventoso,"Em manhã, ventoso, os veículos trafegam."
carros sinais tempo noite pedestres clima nublado,"Em noite, nublado, os veículos trafegam enquanto os pedestres caminham pela rua sob a orientação dos sinais de trânsito."
carros passadeira pedestres sinais tempo tarde clima ventoso,"Em tarde, ventoso, os veículos trafegam enquanto os pedestres atravessam a passadeira sob a orientação dos sinais de trânsito."
clima ensolarado carros sinais de transito tempo manhã peoes,"Em manhã, ensolarado, os veículos trafegam enquanto os pedestres caminham pela rua sob a orientação dos sinais de trânsito."
tempo manhã veículos clima ensolarado peoes passadeira,"Em manhã, ensolarado, os veículos trafegam enquanto os pedestres atravessam a passadeira."
pedestres clima ensolarado veículos tempo noite passadeira,"Em noite, ensolarado, os veículos trafegam enquanto os pedestres atravessam a passadeira."
sinais de transito pedestres clima ensolarado tempo manhã,"Em manhã, ensolarado, enquanto os pedestres caminham pela rua sob a orientação dos sinais de trânsito."
carros clima nevoeiro tempo manhã passadeira,"Em manhã, nevoeiro, os veículos trafegam a passadeira é utilizada."
tempo noite clima nevoeiro sinais veículos,"Em noite, nevoeiro, os veículos trafegam sob a orientação dos sinais de trânsito."
clima ensolarado tempo dia veículos sinais passadeira pedestres,"Em dia, ensolarado, os veículos trafegam enquanto os pedestres atravessam a passadeira sob a orientação dos sinais de trânsito."
clima ventoso pedestres veículos tempo tarde,"Em tarde, ventoso, os veículos trafegam enquanto os pedestres caminham pela rua."
passadeira peoes clima ventoso sinais tempo noite veículos,"Em noite, ventoso, os veículos trafegam enquanto os pedestres atravessam a passadeira sob a orientação dos sinais de trânsito."
pedestres carros tempo manhã clima chuvoso,"Em manhã, chuvoso, os veículos trafegam enquanto os pedestres caminham pela rua."
carros peoes clima nevoeiro tempo noite passadeira,"Em noite, nevoeiro, os veículos trafegam enquanto os pedestres atravessam a passadeira."
